Headline,URL
News,https://www.bbc.com/news
Israel-Gaza War,https://www.bbc.com/news/topics/c2vdnvdg6xxt
War in Ukraine,https://www.bbc.com/news/war-in-ukraine
US & Canada,https://www.bbc.com/news/us-canada
UK,https://www.bbc.com/news/uk
Africa,https://www.bbc.com/news/world/africa
Asia,https://www.bbc.com/news/world/asia
Australia,https://www.bbc.com/news/world/australia
Europe,https://www.bbc.com/news/world/europe
Latin America,https://www.bbc.com/news/world/latin_america
Middle East,https://www.bbc.com/news/world/middle_east
In Pictures,https://www.bbc.com/news/in_pictures
BBC InDepth,https://www.bbc.com/news/bbcindepth
BBC Verify,https://www.bbc.com/news/bbcverify
News,https://www.bbc.com/news
Israel-Gaza War,https://www.bbc.com/news/topics/c2vdnvdg6xxt
War in Ukraine,https://www.bbc.com/news/war-in-ukraine
US & Canada,https://www.bbc.com/news/us-canada
UK,https://www.bbc.com/news/uk
UK Politics,https://www.bbc.com/news/politics
England,https://www.bbc.com/news/england
N. Ireland,https://www.bbc.com/news/northern_ireland
N. Ireland Politics,https://www.bbc.com/news/northern_ireland/northern_ireland_politics
Scotland,https://www.bbc.com/news/scotland
Scotland Politics,https://www.bbc.com/news/scotland/scotland_politics
Wales,https://www.bbc.com/news/wales
Wales Politics,https://www.bbc.com/news/wales/wales_politics
Africa,https://www.bbc.com/news/world/africa
Asia,https://www.bbc.com/news/world/asia
China,https://www.bbc.com/news/world/asia/china
India,https://www.bbc.com/news/world/asia/india
Australia,https://www.bbc.com/news/world/australia
Europe,https://www.bbc.com/news/world/europe
Latin America,https://www.bbc.com/news/world/latin_america
Middle East,https://www.bbc.com/news/world/middle_east
In Pictures,https://www.bbc.com/news/in_pictures
BBC InDepth,https://www.bbc.com/news/bbcindepth
BBC Verify,https://www.bbc.com/news/bbcverify
"Reassurance, not peacekeeping: What Ukraine coalition force will and won't doThe force would focus on providing Ukraine with air cover to keep its skies safe and a naval presence in the Black Sea to encourage trade.3 hrs agoEurope",https://www.bbc.com/news/articles/ckgz8jlxlk3o
Tesla's challenges run deeper than 'toxic' controversy around Elon MuskThe company is still valued at more than 100 times its earnings - but it faces problems that experts say go beyond questions around its CEO15 hrs agoBBC InDepth,https://www.bbc.com/news/articles/cz61vwjel2zo
"Four key takeaways from release of JFK filesExperts praised a move towards transparency, but there are no major revelations in the documents - and some still have yet to be released.4 hrs agoUS & Canada",https://www.bbc.com/news/articles/cly676jp291o
Finland named as happiest country for eighth yearAccess to nature and a strong welfare system are cited as factors as Nordic nations dominate the rankings.5 hrs agoWorld,https://www.bbc.com/news/articles/cr72xep44kdo
"Reassurance, not peacekeeping: What Ukraine coalition force will and won't doThe force would focus on providing Ukraine with air cover to keep its skies safe and a naval presence in the Black Sea to encourage trade.3 hrs agoEurope",https://www.bbc.com/news/articles/ckgz8jlxlk3o
"'They wanted to be doctors, teachers': Gazans grieve children killed in massive Israeli strikesBabies and young children are among the hundreds killed in Israel's renewed bombardment.15 hrs agoMiddle East",https://www.bbc.com/news/articles/cr427n34qrgo
"China executed four Canadians for drug crimes, says OttawaThe Chinese embassy in Canada said evidence for the Canadians' crimes was ""solid and sufficient"".7 hrs agoWorld",https://www.bbc.com/news/articles/c204ywyl4kvo
"Trump to order dismantling of US education departmentThe move, which he promised to do on the campaign trail, is already facing legal challenges.41 mins agoUS & Canada",https://www.bbc.com/news/articles/c07zpmzxln1o
